0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:24 +0900] "GET /anafor/css/common.css?v=1655774004889 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:32 +0900] "GET /anafor/userLoginChk?user_id=testabc&user_pw=Tabc12345 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:32 +0900] "GET /anafor/ HTTP/1.1" 200 12848
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:32 +0900] "GET /anafor/css/common.css?v=1655774012420 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:32 +0900] "GET /anafor/css/common.css?v=1655774012419 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:32 +0900] "GET /anafor/css/ajax-loader.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:33 +0900] "GET /anafor/mypage HTTP/1.1" 200 5726
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:33 +0900] "GET /anafor/css/common.css?v=1655774013546 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:54 +0900] "GET /anafor/checkpw.ur HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:54 +0900] "GET /anafor/css/common.css?v=1655774034884 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:55 +0900] "GET /anafor/checkpw.ur HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:55 +0900] "GET /anafor/css/common.css?v=1655774035858 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:14:19 +0900] "GET /anafor/ HTTP/1.1" 200 12848
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:14:19 +0900] "GET /anafor/css/common.css?v=1655774059580 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:14:19 +0900] "GET /anafor/css/common.css?v=1655774059579 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:14:19 +0900] "GET /anafor/css/ajax-loader.gif HTTP/1.1" 404 721
